img,class,conf,class-name,read,run,write
1,0,0.92,person,0.007,2.162,0.012
10,0,0.92,person,0.007,0.032,0.012
100,0;2,0.91;0.91,person;car,0.006,0.032,0.012
1000,0,0.93,person,0.007,0.031,0.012
101,0,0.93,person,0.007,0.030,0.012
102,0,0.93,person,0.006,0.029,0.011
103,0,0.93,person,0.006,0.030,0.011
104,0,0.93,person,0.006,0.030,0.011
105,0,0.93,person,0.006,0.030,0.010
106,0,0.93,person,0.006,0.030,0.011
107,0,0.95,person,0.006,0.029,0.011
108,0,0.93,person,0.006,0.030,0.011
109,0,0.93,person,0.006,0.030,0.011
11,0,0.93,person,0.006,0.030,0.011
110,0,0.89,person,0.006,0.030,0.010
111,0;13,0.92;0.53,person;bench,0.006,0.029,0.012
112,2;0,0.95;0.91,car;person,0.006,0.029,0.011
113,0,0.92,person,0.006,0.030,0.011
114,0,0.93,person,0.006,0.030,0.011
115,0,0.94,person,0.006,0.030,0.011
116,0,0.91,person,0.006,0.029,0.011
117,0,0.92,person,0.006,0.030,0.011
118,0,0.94,person,0.006,0.030,0.011
119,0,0.93,person,0.005,0.030,0.010
12,0,0.92,person,0.006,0.029,0.011
120,0,0.93,person,0.006,0.031,0.011
121,0,0.94,person,0.006,0.030,0.011
122,0,0.95,person,0.006,0.030,0.011
123,0;7,0.93;0.83,person;truck,0.006,0.030,0.011
124,0,0.89,person,0.007,0.029,0.012
125,0;58,0.91;0.52,person;potted plant,0.006,0.029,0.012
126,0,0.88,person,0.006,0.030,0.011
127,0,0.93,person,0.006,0.030,0.011
128,0,0.92,person,0.006,0.030,0.011
129,0,0.88,person,0.006,0.030,0.010
13,0,0.88,person,0.006,0.029,0.011
130,0,0.93,person,0.006,0.030,0.011
131,0,0.93,person,0.006,0.030,0.011
132,0,0.95,person,0.006,0.030,0.011
133,0;7,0.93;0.83,person;truck,0.006,0.030,0.011
134,0,0.93,person,0.006,0.029,0.011
135,0;13,0.93;0.68,person;bench,0.006,0.030,0.012
136,0,0.94,person,0.006,0.030,0.011
137,0,0.92,person,0.006,0.030,0.011
138,0,0.93,person,0.006,0.030,0.011
139,0,0.94,person,0.007,0.029,0.012
14,0,0.94,person,0.006,0.029,0.011
140,0;58,0.95;0.62,person;potted plant,0.006,0.030,0.012
141,0,0.93,person,0.006,0.030,0.011
142,0,0.94,person,0.006,0.030,0.011
143,0,0.92,person,0.006,0.030,0.011
144,0,0.91,person,0.006,0.029,0.011
145,0,0.94,person,0.006,0.030,0.012
146,0,0.92,person,0.006,0.030,0.011
147,0;2,0.91;0.65,person;car,0.006,0.030,0.011
148,0,0.93,person,0.006,0.030,0.011
149,0;13,0.91;0.89,person;bench,0.006,0.029,0.012
15,0,0.93,person,0.006,0.029,0.012
150,0,0.90,person,0.006,0.030,0.011
151,0,0.94,person,0.006,0.030,0.011
152,0,0.93,person,0.006,0.030,0.011
153,0,0.92,person,0.006,0.030,0.011
154,0,0.94,person,0.006,0.029,0.011
155,0,0.93,person,0.006,0.031,0.011
156,0;9,0.94;0.51,person;traffic light,0.006,0.030,0.011
157,7;0,0.96;0.94,truck;person,0.006,0.030,0.011
158,0,0.91,person,0.006,0.030,0.011
159,0,0.93,person,0.006,0.029,0.011
16,0,0.93,person,0.006,0.030,0.011
160,0;7,0.93;0.84,person;truck,0.006,0.030,0.011
161,0,0.94,person,0.006,0.030,0.010
162,0,0.83,person,0.006,0.030,0.011
163,0,0.93,person,0.005,0.029,0.010
164,0,0.91,person,0.006,0.030,0.011
165,0,0.87,person,0.006,0.030,0.011
166,0,0.93,person,0.006,0.030,0.010
167,0,0.90,person,0.006,0.029,0.012
168,0,0.91,person,0.006,0.029,0.011
169,0,0.94,person,0.005,0.030,0.010
17,0,0.91,person,0.006,0.030,0.011
170,0,0.93,person,0.006,0.030,0.011
171,0;58,0.92;0.83,person;potted plant,0.006,0.030,0.012
172,0,0.93,person,0.006,0.030,0.010
173,0;2,0.92;0.73,person;car,0.006,0.030,0.011
174,0;13,0.91;0.56,person;bench,0.006,0.030,0.011
175,0,0.93,person,0.006,0.030,0.011
176,0,0.92,person,0.006,0.029,0.011
177,0,0.93,person,0.006,0.030,0.011
178,0;13,0.94;0.69,person;bench,0.006,0.030,0.011
179,0,0.93,person,0.006,0.030,0.011
18,0,0.93,person,0.006,0.030,0.011
180,0,0.95,person,0.006,0.031,0.011
181,0,0.93,person,0.006,0.029,0.011
182,0,0.92,person,0.006,0.030,0.011
183,0,0.93,person,0.006,0.030,0.011
184,0,0.94,person,0.006,0.030,0.010
185,0,0.95,person,0.006,0.029,0.011
186,0,0.94,person,0.006,0.029,0.011
187,0,0.94,person,0.006,0.030,0.011
188,0;13,0.94;0.50,person;bench,0.006,0.030,0.012
189,0,0.92,person,0.006,0.030,0.011
19,0,0.92,person,0.006,0.030,0.011
190,0,0.94,person,0.006,0.029,0.011
191,0,0.94,person,0.006,0.030,0.011
192,0,0.93,person,0.006,0.031,0.011
193,0,0.93,person,0.006,0.030,0.012
194,0,0.93,person,0.006,0.030,0.011
195,0,0.94,person,0.006,0.030,0.011
196,0,0.91,person,0.006,0.029,0.011
197,0,0.94,person,0.006,0.030,0.011
198,0,0.93,person,0.006,0.030,0.011
199,0,0.93,person,0.006,0.030,0.010
2,0,0.94,person,0.006,0.029,0.011
20,0,0.94,person,0.006,0.029,0.012
200,0,0.92,person,0.006,0.031,0.012
201,0,0.90,person,0.006,0.030,0.010
202,0,0.95,person,0.006,0.030,0.011
203,0,0.93,person,0.006,0.030,0.010
204,0,0.93,person,0.006,0.029,0.011
205,0,0.91,person,0.006,0.030,0.011
206,0,0.94,person,0.006,0.030,0.011
207,0,0.93,person,0.006,0.030,0.011
208,0,0.93,person,0.006,0.030,0.010
